lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum
0.4 0.85 0.9126744 0.79187894 0.43345588 0.9607843137254902 49
0.95 0.95 0.9971258 0.85066974 0.4529962 0.9215686274509803 47
0.4 1.0 0.9176098 0.783116 0.42862746 0.9607843137254902 49
0.35 0.2 0.9286949 0.8026711 0.41839418 0.9607843137254902 49
0.3 1.0 0.8943912 0.75576866 0.44180343 0.9803921568627451 50
0.5 0.65 0.9115335 0.7375535 0.48677233 0.9411764705882353 48
0.05 0.45 1.2174362 0.89950234 0.595562 0.9019607843137255 46
0.5 0.75 0.9136594 0.7497289 0.4863086 0.9411764705882353 48
0.35 0.6 0.9983722 0.8178992 0.45408484 0.9411764705882353 48
0.3 0.65 0.91696566 0.76936644 0.47232965 0.9803921568627451 50
0.35 0.3 0.9709551 0.8284036 0.41281348 0.9411764705882353 48
0.3 0.6 0.898092 0.76897967 0.4405729 0.9411764705882353 48
0.35 0.4 0.9269929 0.79914916 0.42122748 0.9411764705882353 48
0.35 0.05 0.9302918 0.80711496 0.41831267 0.9607843137254902 49
0.5 0.5 0.9078285 0.7318293 0.48943263 0.9411764705882353 48
0.35 0.55 0.9687618 0.82079613 0.4138193 0.9411764705882353 48
0.3 0.3 0.8947824 0.7770233 0.44295463 0.9215686274509803 47
0.35 0.5 0.9273284 0.79998636 0.42046785 0.9607843137254902 49
0.3 0.8 0.90215206 0.7752384 0.4378401 0.9803921568627451 50
0.05 0.3 1.2254279 0.8961943 0.6161753 0.9019607843137255 46
0.4 0.9 0.94915617 0.7898172 0.4703986 0.9607843137254902 49
0.35 0.25 0.92758334 0.803674 0.4210452 0.9607843137254902 49
0.25 0.9 0.9521178 0.78095937 0.40932006 0.9215686274509803 47
0.3 0.15 0.92975533 0.7679814 0.48643783 0.9803921568627451 50
0.15 0.55 0.9708556 0.7880249 0.5009044 0.9411764705882353 48
0.35 0.1 0.9710163 0.8288622 0.4118905 0.9411764705882353 48
0.5 0.55 0.91022813 0.7318852 0.4873244 0.9411764705882353 48
0.5 0.05 0.9069246 0.72611165 0.48958185 0.9411764705882353 48
0.55 0.75 0.917348 0.75128925 0.48366663 0.9411764705882353 48
0.5 0.7 0.91060466 0.7377349 0.4876972 0.9411764705882353 48
0.55 0.3 0.90996456 0.720225 0.4873111 0.9607843137254902 49
