lengthscale l2regularizer bma_rmse_mean bma_rmse_median bma_std bma_cov nll_bma_mean nll_bma_median bae_rmse_mean bae_rmse_median bae_std bae_cov nll_bae_mean nll_bae_median
0.1 2.35 0.9027705 0.8479873 0.39318222 0.9215686274509803 1.0766243 0.92101383 1.3166912 1.2615508 0.46611273 0.9803921568627451 1.1006215 1.0558784
0.1 2.3 0.9027991 0.8479867 0.39322487 0.9215686274509803 1.0765979 0.9209788 1.3399585 1.2811604 0.48931596 0.9803921568627451 1.1085745 1.0777314
0.1 2.4 0.90276116 0.84795797 0.39318195 0.9215686274509803 1.0767561 0.9210223 1.302246 1.2442963 0.46837053 0.9607843137254902 1.1048908 1.0362415
0.1 2.45 0.90286374 0.8480156 0.39310795 0.9215686274509803 1.0767758 0.9210055 1.314205 1.2627678 0.4617139 0.9607843137254902 1.120793 1.0880657
0.1 1.7 0.90283704 0.847836 0.39318457 0.9215686274509803 1.0765574 0.9209556 1.4712962 1.3448929 0.58698034 0.9607843137254902 1.0920115 1.0698409
0.1 2.9 0.90288156 0.84805024 0.39314568 0.9215686274509803 1.0762125 0.92104423 1.2558719 1.2059169 0.40713808 0.9607843137254902 1.169351 1.0968715
0.1 2.15 0.9028509 0.84794277 0.39315593 0.9215686274509803 1.0765916 0.9209602 1.3629915 1.2971287 0.508249 0.9803921568627451 1.0763022 1.0347986
0.1 2.2 0.90278286 0.847944 0.39321953 0.9215686274509803 1.0765948 0.9209658 1.3628126 1.3302798 0.5014895 0.9607843137254902 1.1120139 1.0436358
0.1 2.1 0.9028678 0.8479404 0.39313996 0.9215686274509803 1.0765826 0.92095894 1.3861841 1.3357607 0.5253778 0.9803921568627451 1.0916603 1.0501022
0.1 2.05 0.9028628 0.8479403 0.39313865 0.9215686274509803 1.0765785 0.9209579 1.3899697 1.3109393 0.54045475 0.9803921568627451 1.082858 1.0554487
0.1 4.3 0.9028135 0.84797525 0.39303318 0.9215686274509803 1.0764054 0.9211619 1.1301664 1.053653 0.34570408 0.9607843137254902 1.2364185 1.1143124
0.1 2.25 0.90278864 0.84798664 0.3932228 0.9215686274509803 1.076598 0.92098546 1.3371981 1.2791448 0.49051517 0.9803921568627451 1.0918459 1.042347
0.1 3.6 0.9027703 0.84797287 0.39294803 0.9215686274509803 1.0768493 0.92104805 1.1787417 1.120726 0.37701946 0.9607843137254902 1.2085379 1.1240389
0.1 2.85 0.90286094 0.848055 0.39311606 0.9215686274509803 1.0762309 0.9210398 1.2610356 1.2174122 0.41514462 0.9607843137254902 1.1563398 1.0768971
0.1 3.85 0.90275735 0.8481306 0.3930622 0.9215686274509803 1.0763363 0.92105645 1.1628298 1.1033292 0.35902682 0.9607843137254902 1.2175575 1.1284006
0.1 3.2 0.90271443 0.84794104 0.39292988 0.9215686274509803 1.0762454 0.92108357 1.2212931 1.1790273 0.3897828 0.9607843137254902 1.2000268 1.1291167
0.1 3.95 0.9026849 0.8480272 0.39299813 0.9215686274509803 1.0767822 0.92108023 1.1551327 1.0763702 0.35340375 0.9607843137254902 1.2328309 1.1311738
