lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov bma_rmse_mean bma_rmse_median bma_std bma_cov bae_rmse_mean bae_rmse_median bae_std bae_cov
0.2 0.9 0.84726965 0.82891667 0.35301667 0.8627450980392157 0.8345361 0.8197278 0.3511908 0.8627450980392157 2.728831 2.853267 0.9390366 0.9215686274509803
0.15 1.0 0.92463464 0.79342586 0.42103624 0.9019607843137255 0.9135746 0.78069097 0.41541508 0.8823529411764706 2.842291 3.055736 1.0595393 0.9215686274509803
0.25 0.9 0.86878806 0.8646385 0.35494894 0.8431372549019608 0.8599652 0.8425828 0.35120764 0.8235294117647058 2.7123933 2.8606663 0.836811 0.9019607843137255
0.25 0.2 0.87071836 0.73295087 0.36954817 0.8627450980392157 0.8555077 0.71190095 0.3646405 0.8431372549019608 2.1768577 2.2826982 0.90462077 0.9215686274509803
0.2 0.95 0.8552945 0.8543233 0.35885447 0.8627450980392157 0.84321177 0.84672123 0.3563185 0.8627450980392157 2.7752388 2.9491227 0.94405997 0.9411764705882353
0.25 0.1 0.847751 0.77505773 0.43344507 0.8823529411764706 0.82762754 0.74715227 0.4299949 0.9019607843137255 1.8554493 2.0455446 0.74240345 0.9215686274509803
0.3 1.0 0.91725075 0.875937 0.37804374 0.8431372549019608 0.9124061 0.8526248 0.369376 0.8235294117647058 2.7044892 2.9332123 0.91080654 0.9215686274509803
0.25 0.85 0.86745805 0.8697381 0.35501862 0.8431372549019608 0.85879886 0.8463361 0.3501474 0.8235294117647058 2.7202084 2.8836355 0.7969414 0.9019607843137255
0.25 0.05 0.9675652 0.965858 0.40627477 0.8823529411764706 0.9320197 0.94452345 0.4157791 0.9215686274509803 1.6308324 1.7185469 0.606302 0.9411764705882353
0.3 0.25 0.8718349 0.7815043 0.36453784 0.8431372549019608 0.8648202 0.75787884 0.35509312 0.8431372549019608 2.382749 2.630652 0.92408764 0.9215686274509803
0.25 0.6 0.86486113 0.8524524 0.3531411 0.8627450980392157 0.8536981 0.8473627 0.34960797 0.8431372549019608 2.6020255 2.7303395 0.88154817 0.9019607843137255
0.25 0.25 0.8564889 0.7349092 0.3681822 0.8431372549019608 0.84338176 0.6913297 0.36310586 0.8431372549019608 2.364469 2.5030723 0.89478654 0.9215686274509803
0.15 0.8 0.9545101 0.80990493 0.41742042 0.8627450980392157 0.9421151 0.7705875 0.4127834 0.8627450980392157 2.831615 2.982767 1.0454589 0.9215686274509803
0.25 0.35 0.8504119 0.7666831 0.35778958 0.8627450980392157 0.8382759 0.7637621 0.3525178 0.8431372549019608 2.4564543 2.601623 0.8779586 0.9019607843137255
0.25 0.4 0.8592251 0.7783518 0.36584547 0.8627450980392157 0.8485862 0.7625445 0.3610905 0.8627450980392157 2.540196 2.7196102 0.8802771 0.9019607843137255
0.25 0.3 0.8484875 0.75236666 0.4054428 0.8823529411764706 0.8335511 0.73918957 0.40158236 0.9019607843137255 2.395329 2.5357041 0.84654725 0.9215686274509803
0.25 0.8 0.8737704 0.8638016 0.35137045 0.8431372549019608 0.8638066 0.84080684 0.34826952 0.8235294117647058 2.7205815 2.8696914 0.8349009 0.9215686274509803
0.25 0.65 0.8585063 0.8621839 0.37015072 0.8627450980392157 0.84872615 0.83995897 0.3660762 0.8431372549019608 2.6066031 2.7144127 0.8536183 0.9019607843137255
0.25 0.7 0.8616182 0.8677342 0.358033 0.8431372549019608 0.8512661 0.8488874 0.35541 0.8235294117647058 2.645513 2.769477 0.8822618 0.9019607843137255
0.35 0.4 0.8970831 0.81613463 0.38905334 0.8627450980392157 0.8902777 0.79098547 0.379218 0.8627450980392157 2.410242 2.636553 0.88613254 0.9215686274509803
0.25 0.55 0.859156 0.8190079 0.35741353 0.8627450980392157 0.8472134 0.81482357 0.35349226 0.8431372549019608 2.5693345 2.7568617 0.88613456 0.9019607843137255
0.25 0.95 0.8672013 0.8618711 0.3524902 0.8431372549019608 0.85939944 0.8403375 0.34776303 0.8235294117647058 2.7043185 2.907797 0.84771156 0.9019607843137255
0.3 0.05 0.9796077 0.9626882 0.4180735 0.8823529411764706 0.94572484 0.94753194 0.42427588 0.8823529411764706 1.75116 1.858747 0.73262525 0.9411764705882353
