lengthscale l2regularizer rmse_mean rmse_std pi_cov pi_sum
0.15 0.4 2.3009994 1.0230998 0.9019607843137255 46
0.24 0.6 2.2554326 1.5119692 0.9215686274509803 47
0.255 0.05 1.8163427 1.1317863 0.9607843137254902 49
0.225 0.25 2.402182 1.4299425 0.9411764705882353 48
0.24 0.1 2.2563567 1.3895721 0.9215686274509803 47
0.23 0.35 2.15258 1.2447958 0.9411764705882353 48
0.15 1.0 2.3696961 1.6779093 0.9019607843137255 46
0.225 0.55 2.0954978 1.2038438 0.9411764705882353 48
0.235 0.75 2.4257588 1.5437305 0.9803921568627451 50
0.24 0.05 1.9929173 1.3016634 0.9411764705882353 48
0.245 0.7 2.2191815 1.7133533 0.9215686274509803 47
0.25 0.3 2.3311648 1.7319609 0.9803921568627451 50
0.26 0.45 1.9098227 1.304679 0.9411764705882353 48
0.225 0.7 2.118074 1.172349 0.9215686274509803 47
0.255 0.5 2.3740933 1.5898476 0.9411764705882353 48
0.245 0.15 2.1228805 1.4046149 0.9215686274509803 47
0.235 0.3 1.9128191 0.99670726 0.9803921568627451 50
0.15 0.9 2.287924 0.98712397 0.9215686274509803 47
0.225 0.3 1.9358482 1.2277833 0.9803921568627451 50
0.235 0.2 1.8869232 1.2426295 0.9607843137254902 49
0.23 0.85 1.7724524 0.97234076 1.0 51
0.265 0.1 1.9377056 1.1935745 0.8823529411764706 45
0.265 0.75 1.810099 1.2858614 0.9019607843137255 46
0.265 0.3 2.1903234 1.4739652 0.9607843137254902 49
0.265 0.7 1.8857133 1.1637809 0.9607843137254902 49
0.26 0.6 2.2378883 1.514386 0.9019607843137255 46
0.265 1.0 1.9654801 1.1622018 0.9411764705882353 48
0.255 0.75 2.1472661 1.4924018 0.9215686274509803 47
0.23 0.15 2.1908565 1.4941549 0.9803921568627451 50
0.24 0.4 2.5583873 1.7307494 0.9411764705882353 48
0.27 0.05 1.8934822 1.0997359 0.9215686274509803 47
0.25 0.25 2.1808746 1.3770018 0.9411764705882353 48
0.245 0.8 1.9751107 1.0656846 0.9607843137254902 49
0.265 0.95 2.020267 1.3170226 0.9411764705882353 48
0.24 0.35 2.2552934 1.3313622 0.9411764705882353 48
0.26 1.0 2.15454 1.2730615 0.9411764705882353 48
0.25 0.85 1.9827526 1.3087804 0.9607843137254902 49
0.25 0.15 1.9654236 1.2462623 0.9803921568627451 50
0.205 0.95 2.5288815 1.6548227 0.9411764705882353 48
0.245 0.85 2.3924081 1.7376713 0.9019607843137255 46
0.265 0.8 1.9413278 1.2250022 0.9215686274509803 47
0.245 0.1 2.3638704 1.5516021 0.9411764705882353 48
0.205 0.7 2.3101552 1.3167068 0.9411764705882353 48
0.25 0.55 2.04419 1.4317728 0.9411764705882353 48
0.265 0.5 2.1641617 1.643512 0.9215686274509803 47
