lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov bma_rmse_mean bma_rmse_median bma_std bma_cov bae_rmse_mean bae_rmse_median bae_std bae_cov
0.4 0.95 1.1832213 1.1980917 0.31723332 0.8823529411764706 1.1786233 1.1953578 0.32778493 0.8823529411764706 2.986517 2.8328743 0.6965361 0.9215686274509803
0.15 0.25 1.1943015 1.1038661 0.62153494 0.9019607843137255 1.1861587 1.0943409 0.6295463 0.9019607843137255 2.545917 2.3618789 0.8747062 0.8627450980392157
0.15 0.7 1.2055763 1.0845461 0.5749308 0.8627450980392157 1.1983573 1.0800076 0.5809363 0.8627450980392157 2.8909929 2.6639256 0.8320035 0.8431372549019608
0.15 1.0 1.2479769 1.1775887 0.5423192 0.8627450980392157 1.2417089 1.1726321 0.5481736 0.8627450980392157 2.922547 2.6062264 0.93997294 0.9019607843137255
0.4 0.8 1.1516035 1.1175401 0.33586758 0.8823529411764706 1.1469252 1.1148125 0.3455754 0.8823529411764706 2.8787024 2.7241812 0.7524663 0.9215686274509803
0.2 0.3 1.1126915 1.040629 0.488021 0.9215686274509803 1.1060745 1.0311093 0.49477133 0.9215686274509803 2.5607936 2.3530335 0.85506076 0.8627450980392157
0.15 0.35 1.2000816 1.116329 0.57666284 0.8823529411764706 1.19232 1.1069485 0.5844424 0.8627450980392157 2.5944524 2.38834 0.9703151 0.9215686274509803
0.15 0.5 1.222931 1.1195533 0.58141845 0.8627450980392157 1.2161471 1.1082115 0.5874426 0.8627450980392157 2.9237432 2.6354966 0.92960924 0.8431372549019608
0.15 0.55 1.1702541 1.0804017 0.5980127 0.8823529411764706 1.1631125 1.068752 0.6036312 0.8823529411764706 2.898079 2.634068 0.90757906 0.8823529411764706
0.4 0.35 1.0538992 1.0537374 0.36928585 0.9019607843137255 1.0498255 1.044817 0.37719652 0.8823529411764706 2.5924911 2.2650266 0.85662663 0.9215686274509803
0.2 0.45 1.1745557 1.0854429 0.5103447 0.8823529411764706 1.1680683 1.0773556 0.517417 0.9019607843137255 2.7587416 2.4996104 0.7809332 0.8627450980392157
0.15 0.4 1.1848406 1.117203 0.5617476 0.8823529411764706 1.1761338 1.107398 0.5699368 0.8823529411764706 2.7182567 2.5038116 0.86042374 0.8627450980392157
0.15 0.45 1.1871463 1.0991112 0.578066 0.8823529411764706 1.1785961 1.0879204 0.585214 0.9019607843137255 2.8588512 2.55101 0.89607674 0.8627450980392157
0.2 0.1 1.1120402 1.0455037 0.4829226 0.9019607843137255 1.1046132 1.0346878 0.49121773 0.9019607843137255 2.1510398 1.8987054 0.7537674 0.8235294117647058
0.5 0.3 1.0389078 1.0294826 0.342838 0.8823529411764706 1.0353507 1.0192478 0.3528046 0.9019607843137255 2.477911 2.1746716 0.8932384 0.9215686274509803
