lengthscale l2regularizer bne_rmse_mean bne_rmse_median bne_std bne_cov nll_bne_mean nll_bne_median
0.7 3.0 1.011441 0.7435652 0.52000016 0.8627450980392157 1.3463246 1.242086
0.7 2.75 1.0220579 0.74689704 0.5459959 0.8627450980392157 1.3517337 1.2043099
0.7 2.25 1.0626125 0.74896824 0.6426115 0.8431372549019608 1.3809557 1.1138651
0.7 2.5 1.0280716 0.75257564 0.56486154 0.8627450980392157 1.3643185 1.1643991
0.8 2.5 0.998424 0.74013615 0.51300853 0.8627450980392157 1.3346052 1.1964343
0.8 1.5 1.0625691 0.77886677 0.6372267 0.8431372549019608 1.3672963 1.1064904
0.8 2.0 1.0150067 0.7490812 0.5591618 0.8627450980392157 1.3326045 1.1006957
0.8 1.6 1.0506343 0.771819 0.61504644 0.8431372549019608 1.3715466 1.106076
0.8 1.7 1.0657395 0.7584057 0.66024256 0.8431372549019608 1.3892184 1.0856053
0.8 1.8 1.0353309 0.74876183 0.6041414 0.8431372549019608 1.3550433 1.0855136
0.8 2.25 1.0048652 0.74586457 0.5330741 0.8627450980392157 1.342173 1.1477299
0.7 2.0 1.0801026 0.7649621 0.67817706 0.8431372549019608 1.3884101 1.1137073
0.8 1.9 1.0384613 0.74643004 0.6115122 0.8431372549019608 1.3578095 1.0873301
0.8 3.0 0.97817826 0.7487088 0.46599868 0.8627450980392157 1.308861 1.2886205
0.8 4.25 0.961924 0.76088274 0.3985343 0.8431372549019608 1.3210529 1.417568
0.8 3.25 0.9707947 0.750147 0.44579712 0.8627450980392157 1.3110204 1.3321996
0.9 0.7 2.416229 0.7507801 3.6460445 0.8627450980392157 1.2796732 0.9708936
0.9 0.6 3.1980422 0.7566101 5.385674 0.8823529411764706 1.2487408 0.97211075
0.9 0.05 3.6610518 0.74991745 6.4328246 0.8431372549019608 1.2651283 0.9205251
0.9 0.1 6.914351 0.7489046 13.708798 0.8627450980392157 1.20187 0.940678
0.9 0.8 1.8463945 0.74228996 2.3915522 0.8627450980392157 1.2547804 0.9783844
0.9 1.1 1.229479 0.720121 1.045068 0.8431372549019608 1.3802104 0.9728918
0.8 4.0 0.96301824 0.7589435 0.4092085 0.8431372549019608 1.3199275 1.4229017
0.9 1.8 1.0002708 0.7484813 0.5395142 0.8627450980392157 1.3322157 1.0901986
0.9 4.0 0.94286174 0.76390475 0.38274148 0.8431372549019608 1.2943344 1.3165731
0.9 4.25 0.94181615 0.7669039 0.379863 0.8431372549019608 1.2931387 1.3119092
0.9 2.0 0.9957714 0.74896634 0.5277162 0.8627450980392157 1.3418331 1.1330616
0.9 4.5 0.9403727 0.7704301 0.37371254 0.8627450980392157 1.2932799 1.3038371
0.9 3.75 0.94539404 0.7654034 0.3909576 0.8627450980392157 1.2885629 1.3195622
0.9 1.9 0.9934552 0.7461798 0.5210832 0.8627450980392157 1.317633 1.1069617
